,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
24,-0.1666514,0.02946688,0.8302449,-0.26495305,-0.22043364,0.17744221,0.41731808,0.36339158,0.33554035,-0.13070358,0.07103114,-0.32193336,0.22959317,-0.2156965,0.022804515,-0.23315458,-0.00020739766,-0.08117747,0.6769065,0.43694398,-0.017082367,0.1918364,0.31799293,0.2856986,-0.34694347,0.09501632,-0.008363292,-0.26479772,0.0762577,-0.746814,-0.042924847,-0.23972751
3,-0.5264901,0.13368298,0.15122168,0.20238347,-0.60511845,-0.08819855,0.43813002,-0.007501566,0.039589822,0.029027268,0.59206116,0.0007423317,0.5592596,-0.2786334,-0.28973556,-0.27051696,0.28634176,-0.0074021756,-0.30983973,0.0648814,-0.69577634,0.09004136,0.011040092,-0.19215927,-0.5703568,0.26910785,-0.052021224,0.38496524,-0.5868294,0.26935747,-0.20114398,0.18624176
13,-0.32143742,0.38358453,-0.010575984,0.40243584,-0.6180498,-0.06857148,0.25324452,0.2831534,-0.08009868,0.06646748,0.37071577,-0.32295948,0.3264841,-0.33259705,-0.13013043,0.29561588,0.19706263,0.1317832,-0.0532881,0.7010687,-0.3655502,-0.2234831,0.16515593,-0.4909238,-0.41091248,0.9539217,0.20502272,0.506,-0.6898958,0.24138148,0.31968725,0.24938314
33,-0.60581756,0.1866242,0.5583423,0.40733188,-0.31268567,0.10478311,0.42695484,-0.042725217,0.22935537,0.2988445,-0.009650933,-0.5777329,0.63178533,-0.44287887,-0.092823416,-0.23339845,0.017480055,-0.10595019,0.26462162,0.081954226,-0.15287916,0.20344111,0.04385675,0.58276427,-0.21510153,-0.16554886,0.11204546,0.24595475,-0.30020264,0.16117151,0.09155251,0.09547397
26,-0.16070843,0.29146993,-0.01936138,0.23012203,-0.65468276,0.06580951,0.32071993,0.48501584,-0.15893579,0.12701236,0.40031856,-0.39167213,0.248105,-0.22444575,-0.31050265,0.21201627,0.12023788,0.08471203,-0.039183505,0.33954585,-0.27004486,-0.36922026,0.3963233,-0.8623523,-0.42162526,1.0687202,0.17738838,0.38176277,-0.7636253,-0.030963436,0.45520505,0.40038142
38,-0.8446218,-0.22176915,0.1321147,0.30460843,-0.47809213,-0.08529061,0.17072277,-0.13353771,0.4501166,0.14465293,0.1385577,-0.61182487,0.21770522,-0.45746216,-0.059701484,-0.07332366,0.17389226,-0.21065538,0.23692763,0.099255286,-0.38185373,0.28660238,-0.11916745,-0.18372624,-0.43464184,-0.16509378,-0.05591883,0.28776672,-0.29400578,0.18615378,0.22577755,-0.062004596
19,-0.39463773,-0.21122837,0.5257269,-0.5304249,-0.6495702,-0.112517975,-0.32132477,0.63525736,-0.16324468,-0.54016036,-0.17878482,0.22124311,-0.006560503,-0.66792166,0.06924242,-0.04502948,-0.3092674,0.52124685,0.052780412,0.88330764,-0.06962541,-0.5298288,0.18169236,-0.6594869,0.022269914,0.5926145,0.041622348,-0.11959399,-0.21592997,-0.0431766,-0.11004223,0.15981415
37,-0.7502398,-0.25920397,0.536548,0.6974689,-0.036040317,0.19256009,-0.10081167,0.054717734,-0.33985245,0.46275067,-0.48507464,-0.36258513,0.34568742,-0.15096004,0.067925334,0.14717953,0.21416445,-0.048848744,0.1881916,0.6017407,0.0704068,0.37364182,-0.119654916,0.3726966,-0.13875942,0.7052267,0.25956813,0.32996488,-0.9784548,-0.13853624,0.47086918,-0.03291241
0,-0.66097206,0.3845285,0.43695152,0.24619098,-0.21091112,-0.052659,0.07962708,-0.37002903,0.3139878,0.27760535,0.40522102,-0.44819218,0.36758232,-0.62598515,-0.30259514,-0.21706025,-0.40386853,-0.087967075,0.3049266,0.25043035,-0.3167452,0.18407813,0.37110946,0.3510992,-0.09363151,-0.03436319,-0.028695567,0.14536448,-0.4090381,0.5464911,0.19876353,0.13080028
35,-0.38172475,-0.49744728,0.930157,-0.23570704,0.19359435,0.3390563,1.1175793,0.3897783,0.62968946,0.26576006,0.87282807,0.029888928,-0.30738682,0.21695094,-0.27155843,-0.25652823,-0.63086987,-0.08823784,0.5701167,0.42424697,0.15146212,0.5445766,0.2580278,-0.010402142,0.1442003,-0.45440483,0.060464785,-0.4254799,-0.030785378,-0.7491442,0.025151595,-0.5619738
20,-0.7200066,0.040303867,0.15051281,-0.24120979,0.19037786,-0.009129837,0.59317696,0.25713098,0.42595652,0.62382793,1.1523364,0.39728785,0.36413077,0.17332055,-0.17718884,-0.22027776,-0.60868174,0.19198492,0.20348983,0.6237155,-0.6041519,-0.12191725,0.015167789,0.16716461,-0.65217465,0.11062245,-0.35673413,-0.07240793,-0.42297027,-0.34966347,-0.19409837,-0.51708823
10,-0.19320339,0.048204005,0.49671707,-0.13511804,-0.9348172,-0.26875797,0.3185972,0.65786886,-0.4736347,-0.36688003,-0.04153929,-0.4642,0.18071847,-0.556468,-0.003681593,0.19007932,-0.06631206,0.5104892,0.10922754,0.5695149,-0.119059674,-0.4328065,-0.43927386,-0.15904517,-0.24558534,0.4933686,0.21099432,0.45569378,-0.5423584,0.41916645,-0.15245675,0.14219432
8,-0.65554166,-0.056274075,0.72411186,-0.030083565,0.28581798,0.11937234,0.718959,0.3682343,0.56373453,0.293264,0.7006631,-0.014691255,0.18622053,0.042292427,0.194096,0.01799721,-0.6875629,-0.2906652,0.44739395,0.4286615,-0.29891348,0.40898374,0.43039596,0.39661682,0.23038156,-0.43305773,-0.05884643,-0.044598866,-0.29386958,-0.24772511,0.26599738,-0.48512852
31,-0.3851069,0.29927942,0.16875577,0.30411193,-0.61447936,0.002519189,0.063331574,-0.12395272,-0.01254543,0.16028798,0.28431094,-0.4768102,0.43116108,-0.6458326,-0.20482086,-0.010987326,-0.31265664,-0.029907204,0.055542193,0.3871225,-0.27562997,-0.15563056,0.3509066,-0.039707184,-0.28000396,0.37030143,0.14349157,0.14093076,-0.6117111,0.7216922,0.32963055,0.14556915
2,-0.3172119,0.6890137,0.28888142,-0.22092228,-0.3068386,0.15743446,0.14808132,0.28227878,0.5050328,0.3631351,1.0148137,-0.032699384,0.19404215,-0.07895328,0.13627014,0.2611484,-0.46264514,-0.019217227,0.26032883,0.59236103,-0.5879105,0.14406565,0.40804663,0.2699415,-0.46059573,0.4881597,-0.3320524,0.06117478,-0.58546627,-0.240955,-0.14748242,-0.45981547
16,-0.34525922,0.43038794,0.3981226,-0.06305917,-0.6450837,0.35043478,0.22188824,0.021586208,0.54527426,0.7192548,0.74646205,-0.06637248,0.49003658,-0.5918576,-0.44756404,0.33462667,-0.35101297,0.1685159,0.28058377,0.53546625,0.06413529,-0.26611122,-0.030537292,0.47793838,-0.4030918,0.22331479,-0.016944965,-0.35899708,-0.6048532,0.41522512,-0.21868736,-0.35195628
27,-0.18873383,0.002787681,0.3881358,0.15448025,-0.8547358,-0.08625441,-0.3482974,0.18201017,0.0031450584,0.10402617,-0.1566809,-0.31442752,0.6503676,-0.67820454,-0.069702886,0.08714526,-0.08295045,0.3751976,0.1616829,0.53804326,0.18784027,-0.3355746,0.16934685,0.23973536,-0.4776554,0.6232884,-0.07145368,-0.06036631,-0.2579316,0.6155559,-0.32821736,0.12280937
9,-0.19364333,0.5959868,0.7836258,0.03914135,-0.18757842,0.45705873,0.3454126,0.27916744,0.64147484,0.27326444,0.72076464,-0.23361114,0.17178808,-0.1281779,0.15158837,0.32479048,-0.59070075,-0.13212436,0.39025378,0.2778356,-0.17465866,0.5925812,0.35854217,0.5271536,0.09381611,0.034356527,-0.012647227,-0.06585133,-0.5008025,-0.19872525,0.1588413,-0.45168665
