,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
26,0.18089534,0.115292296,0.66235274,-0.2821442,0.15530965,-0.70740753,-0.1584473,1.1674933,0.7286262,-0.6724257,0.27311298,-0.27182996,1.0210341,-0.49933025,-0.2101173,-0.79061
38,0.5888738,-0.16849793,0.5411703,-0.0508655,-0.19858706,-0.2805437,0.5075587,0.02256943,0.02214487,-0.10240434,-0.48939088,0.68853986,0.05171073,-0.5538722,-0.41821635,-0.50908625
19,0.16508438,-0.4009081,0.02397974,0.34303626,0.9396871,-0.79614705,-0.119328715,0.1323437,0.052587565,-0.56711286,0.20234269,-1.1159195,0.54693264,-0.7391207,-0.54325306,-0.15178397
37,-0.1842955,-0.0071865576,1.1038996,0.60306716,-0.048377484,0.060573738,0.10851119,0.21452601,1.0317281,-0.097160496,-0.06866053,0.46053192,-0.43822685,-1.1180394,-0.100614674,-0.66022205
35,-1.0167897,0.08442453,0.033023342,-0.0054355087,0.07401821,-0.61027825,1.9814187,-0.46984416,-0.40827355,-0.15545449,0.5391517,0.28695607,-0.19022326,-0.15737829,0.09275249,-0.74063027
0,0.40781486,0.28607464,0.40152672,-0.1461193,-0.08550293,-0.49563769,-0.043934595,-0.3745118,-0.08334711,0.09246642,0.26191494,1.0622212,0.21109143,-0.6880709,-0.65106225,-0.69461626
20,-1.2195415,-0.56735796,0.7025667,-0.7986084,0.10708223,-0.8725353,0.5413832,-0.030507332,-0.24267262,-0.39411908,0.39744174,0.76490045,-0.10038156,0.117150754,-0.5667257,-0.34355322
10,0.32173678,-0.21687078,0.7861187,-0.28931957,0.098741725,-0.9242871,-0.2005372,0.514645,0.27639183,-0.114490256,-0.23725739,-0.48551276,0.64326686,-0.76457375,-0.7968219,-0.00090175366
31,0.66833097,0.34949666,0.3380816,-0.17914884,0.052517135,-0.54874444,-0.41487822,0.22393258,0.040663324,-0.5198792,0.33809,0.5505805,0.46265736,-0.68380165,-0.6969772,-0.69176424
8,-0.9107243,-0.14635278,-0.022900213,0.11576616,-0.16167615,-0.74778533,1.0516735,-0.61380666,-0.038200125,-0.10118462,0.6304982,0.77247995,0.031537335,-0.30122176,-0.10344254,-0.7652831
2,-0.7178106,-0.34625393,0.7004974,-0.57737243,-0.031065708,-0.88111955,0.19668306,0.0457096,-0.06502802,-0.758994,0.8857222,0.56193274,0.19833384,-0.10945512,0.061044987,-0.8280107
16,0.019252766,-0.017348098,0.40785626,-0.31710324,-0.28789014,-1.0542196,-0.23335786,-0.7670403,-0.30262387,-0.9598318,0.5526436,0.41168913,0.7958026,-0.40862426,-0.41087985,-0.5688385
27,0.5501435,-0.25727955,0.33401206,0.2115413,0.11706617,-0.51432574,-0.53722054,-0.2519722,0.29716143,-0.43992746,0.2668106,-0.051074997,0.602709,-0.78684986,-0.7876708,-0.23681688
9,-0.28961006,-0.006454274,0.2076081,-0.2185712,-0.40585026,-0.6293084,0.5452577,-0.44315028,0.18917145,-0.33917782,0.9273717,0.7515186,0.14208017,-0.494495,0.1320352,-0.7624833
